className,remotePort
o2::quality_control_modules::cpv::PedestalTask,29000
o2::quality_control_modules::cpv::PhysicsTask,29001
o2::quality_control_modules::ctp::CTPRawDataReaderTask,29050
o2::quality_control_modules::daq::DaqTask,29100
o2::quality_control_modules::emcal::CalibMonitoringTask,29150
o2::quality_control_modules::emcal::CellTask,29151
o2::quality_control_modules::emcal::ClusterTask,29152
o2::quality_control_modules::emcal::RawErrorTask,29153
o2::quality_control_modules::emcal::RawTask,29154
o2::quality_control_modules::emcal::SupermoduleProjectorTask,29155
o2::quality_control_modules::fdd::DigitQcTask,29200
o2::quality_control_modules::ft0::DigitQcTask,29250
o2::quality_control_modules::ft0::DigitQcTaskLaser,29251
o2::quality_control_modules::ft0::OutOfBunchCollTask,29252
o2::quality_control_modules::ft0::TriggerQcTask,29253
o2::quality_control_modules::fv0::DigitQcTask,29300
o2::quality_control_modules::fv0::DigitQcTaskLaser,29301
o2::quality_control_modules::fv0::OutOfBunchCollTask,29302
o2::quality_control_modules::fv0::TriggerQcTask,29303
o2::quality_control_modules::glo::ITSTPCMatchingTask,29350
o2::quality_control_modules::glo::VertexingQcTask,29351
o2::quality_control_modules::hmpid::HmpidTask,29400
o2::quality_control_modules::its::ITSClusterTask,29450
o2::quality_control_modules::its::ITSDecodingErrorTask,29451
o2::quality_control_modules::its::ITSFeeTask,29452
o2::quality_control_modules::its::ITSFhrTask,29453
o2::quality_control_modules::its::ITSNoisyPixelTask,29454
o2::quality_control_modules::its::ITSThresholdCalibrationTask,29455
o2::quality_control_modules::its::ITSTrackTask,29456
o2::quality_control_modules::mft::QcMFTClusterTask,29550
o2::quality_control_modules::mft::QcMFTDigitTask,29551
o2::quality_control_modules::mft::QcMFTReadoutTask,29552
o2::quality_control_modules::mft::QcMFTTrackTask,29553
o2::quality_control_modules::mid::CalibMQcTask,29600
o2::quality_control_modules::mid::CalibQcTask,29601
o2::quality_control_modules::mid::ClustQcTask,29602
o2::quality_control_modules::mid::DigitsQcTask,29603
o2::quality_control_modules::mid::RawQcTask,29604
o2::quality_control_modules::mid::TracksQcTask,29605
o2::quality_control_modules::muon::TracksTask,29512
o2::quality_control_modules::muonchambers::ClustersTask,29500
o2::quality_control_modules::muonchambers::DecodingErrorsTask,29501
o2::quality_control_modules::muonchambers::DecodingTask,29502
o2::quality_control_modules::muonchambers::DigitsTask,29503
o2::quality_control_modules::muonchambers::ErrorTask,29504
o2::quality_control_modules::muonchambers::PedestalsTask,29505
o2::quality_control_modules::muonchambers::PhysicsTaskDigits,29506
o2::quality_control_modules::muonchambers::PhysicsTaskPreclusters,29507
o2::quality_control_modules::muonchambers::PhysicsTaskRofs,29508
o2::quality_control_modules::muonchambers::PreclustersTask,29509
o2::quality_control_modules::muonchambers::RofsTask,29510
o2::quality_control_modules::muonchambers::TracksTask,29511
o2::quality_control_modules::phos::CalibQcTask,29650
o2::quality_control_modules::phos::ClusterQcTask,29651
o2::quality_control_modules::phos::RawQcTask,29652
o2::quality_control_modules::tof::TOFMatchedTracks,29750
o2::quality_control_modules::tof::TaskDigits,29751
o2::quality_control_modules::tof::TaskRaw,29752
o2::quality_control_modules::tpc::CalDetPublisher,29800
o2::quality_control_modules::tpc::ClusterVisualizer,29801
o2::quality_control_modules::tpc::Clusters,29802
o2::quality_control_modules::tpc::DCSPTemperature,29803
o2::quality_control_modules::tpc::IDCs,29804
o2::quality_control_modules::tpc::LaserTracks,29805
o2::quality_control_modules::tpc::PID,29806
o2::quality_control_modules::tpc::RatioGeneratorTPC,29807
o2::quality_control_modules::tpc::RawDigits,29808
o2::quality_control_modules::tpc::Tracks,29809
o2::quality_control_modules::trd::DigitsTask,29850
o2::quality_control_modules::trd::PulseHeight,29851
o2::quality_control_modules::trd::PulseHeightTrackMatch,29852
o2::quality_control_modules::trd::RawData,29853
o2::quality_control_modules::trd::TrackingTask,29854
o2::quality_control_modules::trd::TrackletsTask,29855
o2::quality_control_modules::zdc::ZDCRawDataTask,29900
o2::quality_control_modules::zdc::ZDCRecDataTask,29901
